index,room_id,host_id,room_type,country,city,neighborhood,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,deleted,minstay,last_modified,latitude,longitude,survey_id,location,coworker_hosted,extra_host_languages,name,property_type,currency,rate_type
88,11697349,36828363,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",2,,1,1.0,1.0,182.0,0,,2018-02-08T16:55:32Z,-34.620105,-58.435239,1,0101000020E6100000CD785BE9B5374DC0058BC3995F4F41C0,,,Sunny room w balcony Great location,Guest suite,ARS,nightly
89,10457586,53881166,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,1,1.0,1.0,162.0,0,,2018-02-08T16:55:32Z,-34.627323,-58.467688,1,0101000020E6100000A75D4C33DD3B4DC0A983BC1E4C5041C0,,,Habitación privada Barrio Flores AR,Apartment,ARS,nightly
90,4720582,24381943,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",48,4.5,2,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.607061,-58.403641,1,0101000020E610000091291F82AA334DC0AAD6C22CB44D41C0,,,ROOM IN THE CENTER OF THE CITY,Apartment,ARS,nightly
91,21912891,13359228,Private room,,,,"Monserrat, Buenos Aires, Argentina",5,4.0,3,21.0,20.0,202.0,0,,2018-02-08T16:55:36Z,-34.61552,-58.379585,1,0101000020E6100000AD86C43D96304DC05704FF5BC94E41C0,,,"Hostelmo, Private room with shared bathroom",Boutique hotel,ARS,nightly
92,16285597,55595740,Private room,,,,"Villa Crespo, Buenos Aires, Argentina",2,,1,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.604184,-58.448244,1,0101000020E61000006A50340F60394DC01B62BCE6554D41C0,,,Casa en zona tranquila,Apartment,ARS,nightly
93,22569522,165878920,Private room,,,,"San Cristobal, Buenos Aires, Argentina",1,,1,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.620434,-58.405941,1,0101000020E6100000828DEBDFF5334DC0CAA99D616A4F41C0,,,"Habitación privada, barrio San Cristobal",Guest suite,ARS,nightly
94,22103080,161448958,Private room,,,,"Balvanera, Buenos Aires, Argentina",1,,1,1.0,1.5,202.0,0,,2018-02-08T16:55:36Z,-34.610232,-58.41115,1,0101000020E61000000DE02D90A0344DC0817C09151C4E41C0,,,"Almagro´s Apartment - ""The Aviary""",Apartment,ARS,nightly
95,19406741,136041496,Private room,,,,"Constitución, Buenos Aires, Argentina",3,4.5,2,1.0,1.5,202.0,0,,2018-02-08T16:55:36Z,-34.629949,-58.38945,1,0101000020E6100000AEB6627FD9314DC0EF92382BA25041C0,,,Constitution Hills,Apartment,ARS,nightly
96,22877771,160672639,Private room,,,,"Villa Crespo, Buenos Aires, Argentina",0,,2,1.0,1.5,202.0,0,,2018-02-08T16:55:36Z,-34.602485,-58.450155,1,0101000020E6100000C190D5AD9E394DC050AA7D3A1E4D41C0,,,Linda habitacion en villa crespo,House,ARS,nightly
97,22585283,73422510,Private room,,,,"San Nicolas, Buenos Aires, Argentina",2,,2,1.0,1.0,202.0,0,,2018-02-08T16:55:36Z,-34.599132,-58.386264,1,0101000020E6100000A2CF471971314DC058FE7C5BB04C41C0,,,Cómoda habitación en el centro (Febrero),Apartment,ARS,nightly
98,15752586,11997022,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",0,,2,1.0,1.5,303.0,0,,2018-02-08T17:32:25Z,-34.590514,-58.411838,1,0101000020E610000002A08A1BB7344DC042EA76F6954B41C0,,,Habitación doble en la mejor ubicación,Apartment,ARS,nightly
99,14648242,82682898,Private room,,,,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina",26,4.5,1,1.0,1.5,202.0,0,,2018-02-08T16:55:36Z,-34.593646,-58.39569,1,0101000020E610000058AD4CF8A5324DC05BB39597FC4B41C0,,,RECOLETA SINGLE CON SALIDA A BALCON TERRAZA,Apartment,ARS,nightly
100,17906375,91795847,Private room,,,,"San Nicolas, Buenos Aires, Argentina",40,4.5,3,1.0,0.0,202.0,0,,2018-02-08T16:55:36Z,-34.604535,-58.384584,1,0101000020E61000004D486B0C3A314DC0C8242367614D41C0,,,+Very Central *Easy Transport *Simple Quiet*Sober*,Apartment,ARS,nightly
